,name,value,open_value,market_cap(억원),market_cap_rank
0,삼성전자,82100,81100,4901191,코스피1위
1,SK하이닉스,140000,138000,1019203,코스피2위
2,LG화학,904000,853000,638155,코스피3위
3,NAVER,377500,386000,6294,코스피4위
4,삼성전자우,72200,72500,594124,코스피5위
5,현대차,235000,230500,502120,코스피6위
6,삼성바이오로직스,719000,735000,475726,코스피7위
7,삼성SDI,671000,658000,461410,코스피8위
8,카카오,471000,469000,417674,코스피9위
9,셀트리온,301500,305000,407109,코스피10위
10,기아차,81100,77700,328750,코스피11위
11,현대모비스,305000,304000,289119,코스피12위
12,POSCO,314500,299500,274203,코스피13위
13,LG전자,148500,142500,243017,코스피14위
14,LG생활건강,1511000,1490000,235991,코스피15위
15,SK이노베이션,252000,259000,233013,코스피16위
16,삼성물산,120000,120000,224264,코스피17위
17,엔씨소프트,931000,947000,204392,코스피18위
18,SK텔레콤,244000,245000,197020,코스피19위
19,KB금융,47000,46350,195430,코스피20위
20,SK,265500,267500,186807,코스피21위
21,신한지주,34000,34100,175644,코스피22위
22,삼성생명,80400,77900,16800,코스피23위
23,LG,90800,90500,156682,코스피24위
24,한국전력,23000,23200,147652,코스피25위
25,삼성전기,195000,191000,145653,코스피26위
26,삼성에스디에스,187500,187000,145083,코스피27위
27,아모레퍼시픽,237000,244500,138547,코스피28위
28,포스코케미칼,161000,156000,124716,코스피29위
29,하나금융지주,38550,39100,115743,코스피30위
30,롯데케미칼,322000,316500,11367,코스피31위
31,KT&G,79700,79400,109422,코스피32위
32,넷마블,122500,123000,105211,코스피33위
33,S-Oil,86800,88100,97722,코스피34위
34,한온시스템,17250,16750,92080,코스피35위
35,삼성화재,183000,180000,86696,코스피36위
36,SK바이오팜,109500,110000,85753,코스피37위
37,LG디스플레이,22500,22300,8509,코스피38위
38,고려아연,407000,406500,76801,코스피39위
39,한국조선해양,107000,107000,75727,코스피40위
40,빅히트,207500,209500,73919,코스피41위
41,현대글로비스,193500,191000,72562,코스피42위
42,HMM,21950,20000,72009,코스피43위
43,금호석유,234000,229000,71294,코스피44위
44,한화솔루션,43950,44150,7260,코스피45위
45,우리금융지주,9610,9700,69410,코스피46위
46,KT,26000,26050,67889,코스피47위
47,기업은행,8650,8580,63894,코스피48위
48,CJ제일제당,410000,412000,61722,코스피49위
49,미래에셋대우,9370,9380,6466,코스피50위
50,현대제철,43250,42400,57715,코스피51위
51,한국타이어앤테크놀로지,46400,48100,57478,코스피52위
52,강원랜드,26200,26100,56052,코스피53위
53,아모레G,65000,64900,53598,코스피54위
54,KODEX 200,41870,41470,51751,
55,LG유플러스,11700,11750,51084,코스피56위
56,오리온,129000,131500,51002,코스피57위
57,신풍제약,94400,87000,518,코스피58위
58,이마트,177000,180500,49340,코스피59위
59,LG이노텍,207500,205000,49109,코스피60위
60,대한항공,27700,27700,48256,코스피61위
61,한국금융지주,86300,86900,48092,코스피62위
62,코웨이,64600,65100,47675,코스피63위
63,녹십자,374500,368000,43766,코스피64위
64,현대건설,39050,39250,43484,코스피65위
65,SKC,114000,115500,43170,코스피66위
66,유한양행,60700,60200,42474,코스피67위
67,현대중공업지주,267000,271500,42182,코스피68위
68,맥쿼리인프라,11100,11150,41313,
69,삼성중공업,6470,6510,4761,코스피70위
70,두산중공업,10800,10950,4461,코스피71위
71,한미사이언스,59000,59700,39710,코스피72위
72,한진칼,58500,59300,38764,코스피73위
73,CJ대한통운,167000,170500,38097,코스피74위
74,삼성카드,32600,32800,37770,코스피75위
75,한미약품,312000,313500,37684,코스피76위
76,SK케미칼,315000,308000,36985,코스피77위
77,현대차2우B,101000,100500,36850,코스피78위
78,롯데쇼핑,128000,128500,36210,코스피79위
79,GS,38550,39000,35819,코스피80위
80,롯데지주,32800,33000,34410,코스피81위
81,팬오션,6430,5960,34373,코스피82위
82,쌍용양회,6820,6780,34363,코스피83위
83,두산퓨얼셀,51800,52400,33926,코스피84위
84,삼성증권,37700,38100,33666,코스피85위
85,동서,33550,40050,33449,코스피86위
86,두산밥캣,32950,32800,33032,코스피87위
87,호텔신라,83600,84300,32811,코스피88위
88,OCI,137500,126000,32793,코스피89위
89,한국항공우주,33350,33700,32508,코스피90위
90,키움증권,123500,123000,32051,코스피91위
91,LG화학우,411000,390000,31601,코스피92위
92,더존비즈온,104500,105000,31549,코스피93위
93,에스원,82600,83000,31387,코스피94위
94,NH투자증권,11050,11150,31096,코스피95위
95,일진머티리얼즈,67300,65000,31033,코스피96위
96,한국가스공사,33400,33700,3833,코스피97위
97,DB손해보험,43500,41950,3798,코스피98위
98,GS건설,36000,35950,3704,코스피99위
99,만도,62900,62600,29536,코스피100위
100,BGF리테일,168000,166000,29037,코스피101위
101,신세계,294500,288000,28994,코스피102위
102,GS리테일,37350,37050,28760,코스피103위
103,한화생명,3265,3175,28358,코스피104위
104,메리츠증권,4050,3990,27376,코스피105위
105,씨에스윈드,64700,63100,27285,코스피106위
106,TIGER 200,41680,41335,26738,
107,CJ,91500,92000,26697,코스피108위
108,대우조선해양,24850,24800,26662,코스피109위
109,한솔케미칼,234500,229500,26581,코스피110위
110,포스코인터내셔널,20900,21000,25785,코스피111위
111,하이트진로,36700,36100,25739,코스피112위
112,현대오토에버,122500,125000,25725,코스피113위
113,휠라홀딩스,42100,42200,25577,코스피114위
114,현대차우,104000,104000,25331,코스피115위
